Invoice Date,Invoice Quantity,Sales Zone,Sales Location
2024-04-10,10,North,JPR
2024-04-10,150,West,BHP
2024-04-10,12,North,JPR
2024-04-10,100,West,BHP
2024-04-10,10,West,PNE
2024-04-10,75,South,MDI
2024-04-10,68,South,MDI
2024-04-10,25,South,MDI
2024-04-11,20,North,GZB
2024-04-11,20,North,GZB
2024-04-11,20,North,GZB
2024-04-11,20,North,GZB
2024-04-11,20,North,GZB
2024-04-11,20,North,GZB
2024-04-11,1,North,JPR
2024-04-11,12,North,JPR
2024-04-11,5,West,PNE
2024-04-11,15,East,DGP
2024-04-11,11,East,DGP
2024-04-11,25,South,MDI
2024-04-11,30,North,JPR
2024-04-11,130,North,JMU
2024-04-11,50,South,HBI
2024-04-12,11,East,DGP
2024-04-12,4,South,MDI
2024-04-12,5,North,JPR
2024-04-12,7,North,GZB
2024-04-12,5,North,LKW
2024-04-12,100,South,MDI
2024-04-12,9,East,DGP
2024-04-12,20,North,LKW
2024-04-12,20,North,LKW
2024-04-12,10,North,LKW
2024-04-12,20,North,JPR
2024-04-12,80,East,PTA
2024-04-12,90,North,GRN
2024-04-12,20,North,GZB
2024-04-12,20,North,GZB
2024-04-12,20,North,GZB
2024-04-12,13,North,GZB
2024-04-12,20,North,LKW
2024-04-12,20,North,LKW
2024-04-12,10,North,LKW
2024-04-13,75,South,KCI
2024-04-13,20,North,JPR
2024-04-13,3,East,DGP
2024-04-13,120,North,GRN
2024-04-13,30,North,GRN
2024-04-13,150,North,GZB
2024-04-13,100,West,BHP
2024-04-13,50,West,BHP
2024-04-13,5,North,JPR
2024-04-13,50,South,KCI
2024-04-13,3,West,PNE
2024-04-13,8,West,PNE
2024-04-13,10,West,PNE
2024-04-13,7,West,PNE
2024-04-14,150,North,GRN
2024-04-14,100,West,PNE
2024-04-14,88,South,MDI
2024-04-14,150,North,GZB
2024-04-14,15,West,BHP
2024-04-14,6,West,BHP
2024-04-14,20,West,BHP
2024-04-14,10,West,BHP
2024-04-14,20,North,LKW
2024-04-14,5,North,LKW
2024-04-14,10,West,BHP
2024-04-14,10,West,BHP
2024-04-14,20,West,BHP
2024-04-14,20,West,BHP
2024-04-14,5,West,BHP
2024-04-14,10,West,BHP
2024-04-14,30,North,GRN
2024-04-14,30,North,GRN
2024-04-14,10,West,BHP
2024-04-14,10,North,LKW
2024-04-14,5,North,GRN
2024-04-14,10,North,LKW
2024-04-14,1,North,GRN
2024-04-14,5,North,GRN
2024-04-14,10,North,GRN
2024-04-14,10,North,GRN
2024-04-14,2,North,LKW
2024-04-14,1,North,LKW
2024-04-14,2,North,LKW
2024-04-14,5,North,LKW
2024-04-14,4,North,LKW
2024-04-14,5,North,LKW
2024-04-14,1,North,LKW
2024-04-15,20,West,PNE
2024-04-15,20,West,PNE
2024-04-15,20,North,LKW
2024-04-15,5,North,LKW
2024-04-15,150,North,JPR
2024-04-15,150,North,JPR
2024-04-15,40,North,GRN
2024-04-15,20,West,PNE
2024-04-15,20,South,MDI
2024-04-15,20,South,MDI
2024-04-15,5,South,MDI
2024-04-15,1,North,GRN
2024-04-15,5,North,GRN
2024-04-15,5,North,GRN
2024-04-15,15,North,GRN
2024-04-15,5,South,MDI
2024-04-15,13,South,MDI
2024-04-15,6,South,MDI
2024-04-15,10,South,MDI
2024-04-15,20,South,MDI
2024-04-15,10,South,MDI
2024-04-15,20,South,MDI
2024-04-15,12,South,MDI
2024-04-15,2,West,BHP
2024-04-15,10,West,BHP
2024-04-15,10,South,MDI
2024-04-15,4,South,MDI
2024-04-15,5,South,MDI
2024-04-15,10,West,PNE
2024-04-15,10,West,PNE
2024-04-15,20,West,PNE
2024-04-15,20,West,PNE
2024-04-15,20,West,PNE
2024-04-15,15,West,PNE
2024-04-15,20,West,PNE
2024-04-15,20,West,PNE
2024-04-15,20,West,PNE
2024-04-16,1,East,DGP
2024-04-16,5,East,DGP
2024-04-16,150,North,GRN
2024-04-16,5,North,JPR
2024-04-16,210,North,GZB
2024-04-16,2,West,PNE
2024-04-16,5,South,MDI
2024-04-16,3,South,MDI
2024-04-16,50,South,HBI
2024-04-16,50,South,HBI
2024-04-16,5,West,BHP
2024-04-16,5,West,BHP
2024-04-16,8,South,MDI
2024-04-16,5,South,MDI
2024-04-16,10,South,MDI
2024-04-16,5,South,MDI
2024-04-16,5,South,MDI
2024-04-16,5,South,MDI
2024-04-16,110,North,GRN
2024-04-16,150,East,DGP
2024-04-16,2,West,BHP
2024-04-16,20,South,HBI
2024-04-16,15,South,HBI
2024-04-17,100,South,MDI
2024-04-17,100,South,MDI
2024-04-17,19,East,DGP
2024-04-17,20,East,DGP
2024-04-17,5,East,DGP
2024-04-17,18,North,JMU
2024-04-17,150,South,KCI
2024-04-17,150,North,DLI
2024-04-17,125,North,GZB
2024-04-17,1,West,BHP
2024-04-17,1,West,BHP
2024-04-17,12,North,JMU
2024-04-17,20,North,GRN
2024-04-17,25,North,JMU
2024-04-17,25,North,JMU
2024-04-17,15,South,HBI
2024-04-17,100,South,HBI
2024-04-17,3,South,MDI
2024-04-17,10,South,MDI
2024-04-17,10,South,MDI
2024-04-17,8,South,MDI
2024-04-17,30,North,JMU
2024-04-17,5,South,MDI
2024-04-17,15,South,HBI
2024-04-17,7,North,JMU
2024-04-17,30,North,JMU
2024-04-17,5,South,MDI
2024-04-17,5,South,MDI
2024-04-17,7,South,MDI
2024-04-17,7,South,MDI
2024-04-17,10,South,MDI
2024-04-17,3,West,PNE
2024-04-17,2,West,PNE
2024-04-17,150,South,MDI
2024-04-17,5,West,BHP
2024-04-17,2,West,BHP
2024-04-17,3,North,LKW
2024-04-17,4,South,HBI
2024-04-18,10,West,PNE
2024-04-18,15,West,PNE
2024-04-18,1,South,HBI
2024-04-18,2,South,HBI
2024-04-18,5,South,HBI
2024-04-18,13,South,HBI
2024-04-18,2,South,HBI
2024-04-18,10,South,HBI
2024-04-18,3,South,HBI
2024-04-18,2,South,HBI
2024-04-18,2,South,HBI
2024-04-18,1,South,HBI
2024-04-18,50,West,BHP
2024-04-18,1,North,JPR
2024-04-18,5,North,JPR
2024-04-18,25,West,BHP
2024-04-18,10,North,JPR
2024-04-18,1,North,JPR
2024-04-18,100,West,BHP
2024-04-18,15,North,GRN
2024-04-18,20,North,DLI
2024-04-18,4,North,GRN
2024-04-18,3,South,HBI
2024-04-18,5,West,PNE
2024-04-18,20,West,PNE
2024-04-18,20,West,PNE
2024-04-18,20,West,PNE
2024-04-18,20,West,PNE
2024-04-18,20,West,PNE
2024-04-18,11,East,DGP
2024-04-18,34,East,DGP
2024-04-18,54,East,DGP
2024-04-19,2,South,HBI
2024-04-19,1,South,HBI
2024-04-19,2,South,HBI
2024-04-19,5,South,HBI
2024-04-19,1,South,HBI
2024-04-19,2,South,HBI
2024-04-19,2,South,HBI
2024-04-19,3,South,HBI
2024-04-19,2,South,HBI
2024-04-19,2,South,HBI
2024-04-19,10,South,HBI
2024-04-19,4,South,HBI
2024-04-19,1,South,HBI
2024-04-19,1,South,HBI
2024-04-19,20,North,DLI
2024-04-19,20,North,DLI
2024-04-19,10,North,DLI
2024-04-19,15,North,GRN
2024-04-19,3,West,BHP
2024-04-19,20,North,DLI
2024-04-19,100,North,GRN
2024-04-19,150,South,MDI
2024-04-19,2,North,GZB
2024-04-19,210,North,GZB
2024-04-19,200,North,GRN
2024-04-19,10,North,LKW
2024-04-19,7,North,DLI
2024-04-19,10,North,DLI
2024-04-19,25,North,GRN
2024-04-19,26,North,GRN
2024-04-19,20,North,GRN
2024-04-19,5,North,DLI
2024-04-19,6,North,DLI
2024-04-19,2,North,DLI
2024-04-19,5,West,BHP
2024-04-19,20,West,PNE
2024-04-19,5,West,PNE
2024-04-19,10,North,LKW
2024-04-19,16,West,PNE
2024-04-19,20,West,PNE
2024-04-19,10,West,PNE
2024-04-20,20,North,DLI
2024-04-20,20,North,DLI
2024-04-20,20,North,DLI
2024-04-20,20,North,DLI
2024-04-20,20,North,DLI
2024-04-20,20,North,DLI
2024-04-20,10,North,DLI
2024-04-20,20,North,DLI
2024-04-20,20,North,DLI
2024-04-20,20,North,DLI
2024-04-20,1,North,DLI
2024-04-20,9,North,DLI
2024-04-20,20,North,GRN
2024-04-20,5,South,MDI
2024-04-20,120,South,HBI
2024-04-20,30,South,HBI
2024-04-20,200,East,DGP
2024-04-20,200,East,DGP
2024-04-20,160,North,JMU
2024-04-20,160,North,JMU
2024-04-20,150,North,DLI
2024-04-20,70,East,DGP
2024-04-20,100,South,MDI
2024-04-20,90,South,MDI
2024-04-20,5,West,PNE
2024-04-21,20,North,LKW
2024-04-21,100,East,DGP
2024-04-21,100,South,KCI
2024-04-22,20,North,GZB
2024-04-22,20,North,GZB
2024-04-22,20,North,GZB
2024-04-22,20,North,GZB
2024-04-22,20,North,GZB
2024-04-22,10,North,GZB
2024-04-22,20,North,GZB
2024-04-22,10,North,DLI
2024-04-22,150,East,DGP
2024-04-22,150,East,DGP
2024-04-22,3,North,LKW
2024-04-22,2,North,GRN
2024-04-22,15,East,DGP
2024-04-22,11,North,GRN
2024-04-22,20,North,JPR
2024-04-22,1,East,DGP
2024-04-22,20,East,DGP
2024-04-22,10,East,DGP
2024-04-22,20,East,DGP
2024-04-22,20,East,DGP
2024-04-22,5,North,JPR
2024-04-22,5,North,JPR
2024-04-22,10,North,JPR
2024-04-22,20,North,JPR
2024-04-22,5,North,JPR
2024-04-22,20,North,JPR
2024-04-22,20,North,JPR
2024-04-22,10,North,JPR
2024-04-22,15,North,JPR
2024-04-22,6,North,JPR
2024-04-22,4,North,JPR
2024-04-22,5,North,JPR
2024-04-22,2,North,JPR
2024-04-22,3,North,JPR
2024-04-23,10,East,DGP
2024-04-23,10,North,JPR
2024-04-23,10,East,DGP
2024-04-23,15,North,JPR
2024-04-23,10,North,JPR
2024-04-23,15,North,GZB
2024-04-23,15,North,LKW
2024-04-23,75,North,JMU
2024-04-23,2,North,JPR
2024-04-23,2,North,JPR
2024-04-23,2,East,DGP
2024-04-23,150,North,GZB
2024-04-23,20,North,GZB
2024-04-23,20,North,GZB
2024-04-23,10,North,GZB
2024-04-23,5,East,DGP
2024-04-23,10,North,GRN
2024-04-23,3,North,GRN
2024-04-23,2,North,GRN
2024-04-23,6,North,GRN
2024-04-23,95,East,DGP
2024-04-23,5,South,MDI
2024-04-23,20,South,HBI
2024-04-23,5,South,HBI
2024-04-23,1,West,BHP
2024-04-23,12,West,BHP
2024-04-24,10,East,DGP
2024-04-24,10,East,DGP
2024-04-24,10,East,DGP
2024-04-24,10,East,DGP
2024-04-24,50,South,KCI
2024-04-24,20,North,JMU
2024-04-24,23,North,JMU
2024-04-24,20,North,GZB
2024-04-24,20,North,GZB
2024-04-24,12,North,JMU
2024-04-24,10,North,GZB
2024-04-24,20,East,DGP
2024-04-24,20,East,DGP
2024-04-24,20,East,DGP
2024-04-24,20,East,DGP
2024-04-24,20,East,DGP
2024-04-24,20,East,DGP
2024-04-24,20,East,DGP
2024-04-24,20,East,DGP
2024-04-24,20,North,JPR
2024-04-24,20,North,JPR
2024-04-24,10,North,JPR
2024-04-24,20,North,JPR
2024-04-24,10,North,JPR
2024-04-24,20,North,LKW
2024-04-24,20,North,LKW
2024-04-24,10,North,LKW
2024-04-25,3,South,HBI
2024-04-25,1,South,HBI
2024-04-25,20,North,JPR
2024-04-25,10,North,JPR
2024-04-25,20,East,DGP
2024-04-25,20,East,DGP
2024-04-25,10,East,DGP
2024-04-25,20,West,PNE
2024-04-25,10,West,PNE
2024-04-25,5,West,PNE
2024-04-25,150,North,JPR
2024-04-25,60,South,KCI
2024-04-25,50,East,DGP
2024-04-25,1,North,GZB
2024-04-25,1,North,GZB
2024-04-25,1,North,GZB
2024-04-25,20,North,JPR
2024-04-25,20,East,DGP
2024-04-25,20,East,DGP
2024-04-25,10,East,DGP
2024-04-25,10,East,DGP
2024-04-25,1,West,PNE
2024-04-25,5,West,PNE
2024-04-25,20,West,PNE
2024-04-25,5,West,PNE
2024-04-25,18,East,DGP
2024-04-26,180,South,KCI
2024-04-26,200,North,DLI
2024-04-26,200,North,DLI
2024-04-26,200,North,DLI
2024-04-26,200,North,GRN
2024-04-26,80,South,KCI
2024-04-26,120,North,GRN
2024-04-26,80,North,GRN
2024-04-26,70,South,KCI
2024-04-26,100,East,DGP
2024-04-26,2,North,JPR
2024-04-26,10,North,JPR
2024-04-26,3,West,PNE
2024-04-26,20,West,PNE
2024-04-26,10,West,PNE
2024-04-26,10,East,DGP
2024-04-27,10,East,DGP
2024-04-27,9,East,DGP
2024-04-27,200,North,DLI
2024-04-27,120,North,GRN
2024-04-27,80,North,GRN
2024-04-27,10,North,JPR
2024-04-27,200,East,DGP
2024-04-27,10,North,JPR
2024-04-27,16,East,DGP
2024-04-27,30,South,KCI
2024-04-27,4,North,JPR
2024-04-27,3,North,GRN
2024-04-27,50,South,KCI
2024-04-27,30,South,KCI
2024-04-27,12,East,DGP
2024-04-27,13,East,DGP
2024-04-28,50,South,KCI
2024-04-28,120,North,GRN
2024-04-28,30,North,GRN
2024-04-28,130,North,GZB
2024-04-28,200,North,DLI
2024-04-28,150,North,GRN
2024-04-28,1,West,PNE
2024-04-28,10,East,DGP
2024-04-29,135,North,GZB
2024-04-29,1,North,JMU
2024-04-29,5,North,JMU
2024-04-29,150,East,DGP
2024-04-29,200,North,DLI
2024-04-29,50,South,HBI
2024-04-29,120,North,GRN
2024-04-29,30,North,GRN
2024-04-29,150,North,GZB
2024-04-29,200,North,DLI
2024-04-30,25,North,JMU
2024-04-30,25,North,JMU
2024-04-30,6,North,JMU
2024-04-30,200,North,DLI
2024-04-30,50,East,DGP
2024-04-30,7,North,GRN
2024-04-30,2,East,DGP
2024-04-30,200,North,DLI
2024-04-30,200,North,DLI
2024-05-01,25,North,JMU
2024-05-01,25,North,JMU
2024-05-02,100,South,MDI
2024-05-02,12,North,LKW
2024-05-02,2,West,PNE
2024-05-03,5,South,HBI
2024-05-03,11,East,DGP
2024-05-03,2,East,DGP
2024-05-03,90,South,MDI
2024-05-03,1,South,HBI
2024-05-03,10,South,HBI
2024-05-03,10,South,HBI
2024-05-03,6,West,PNE
2024-05-04,150,North,JPR
2024-05-04,200,North,JPR
2024-05-04,120,North,JPR
2024-05-04,90,South,HBI
2024-05-04,150,West,PNE
2024-05-04,150,North,LKW
2024-05-05,100,West,BHP
2024-05-06,200,North,DLI
2024-05-06,150,East,DGP
2024-05-06,100,East,DGP
2024-05-06,85,East,DGP
2024-05-07,100,North,JPR
2024-05-07,2,North,JMU
2024-05-08,200,East,DGP
2024-05-08,130,South,KCI
2024-05-08,150,West,PNE
2024-05-08,70,South,HBI
2024-05-08,70,South,HBI
2024-05-09,1,East,DGP
2024-05-09,120,North,JMU
2024-05-09,80,North,JMU
2024-05-09,175,North,JPR
2024-05-09,130,South,HBI
2024-05-09,90,East,DGP
2024-05-09,4,South,HBI
2024-05-09,150,East,DGP
2024-05-09,120,East,DGP
2024-05-09,30,East,DGP
2024-05-09,130,South,KCI
2024-05-09,73,South,KCI
2024-05-09,200,South,KCI
2024-05-10,75,South,KCI
2024-05-10,200,North,GRN
2024-05-10,150,West,PNE
2024-05-10,1,North,JMU
2024-05-10,140,North,JMU
2024-05-10,60,North,JMU
2024-05-11,1,South,KCI
2024-05-11,2,East,DGP
2024-05-11,20,North,GZB
2024-05-11,150,South,HBI
2024-05-12,150,North,GZB
2024-05-12,200,North,DLI
2024-05-13,150,North,DLI
2024-05-14,170,North,DLI
2024-05-14,150,East,DGP
2024-05-14,75,South,KCI
2024-05-14,1,North,LKW
2024-05-15,25,South,KCI
2024-05-15,90,South,HBI
2024-05-15,120,North,JMU
2024-05-15,80,North,JMU
2024-05-15,120,East,DGP
2024-05-15,30,East,DGP
2024-05-15,120,North,JMU
2024-05-15,30,North,JMU
2024-05-15,120,North,GRN
2024-05-15,80,North,GRN
2024-05-15,200,North,GRN
2024-05-15,120,North,JMU
2024-05-15,150,East,DGP
2024-05-15,120,North,GRN
2024-05-15,30,North,GRN
2024-05-15,150,North,GRN
2024-05-15,50,North,GZB
2024-05-15,120,South,KCI
2024-05-16,200,North,JPR
2024-05-16,80,North,JMU
2024-05-16,120,North,JMU
2024-05-16,200,North,GZB
2024-05-16,120,North,JMU
2024-05-16,40,North,JMU
2024-05-16,100,South,MDI
2024-05-16,120,North,JMU
2024-05-16,80,North,JMU
2024-05-16,150,North,JPR
2024-05-17,120,North,GRN
2024-05-17,30,North,GRN
2024-05-17,100,North,GRN
2024-05-17,200,North,DLI
2024-05-17,150,North,JPR
2024-05-17,1,East,DGP
2024-05-17,5,East,DGP
2024-05-17,65,West,BHP
2024-05-18,200,South,HBI
2024-05-18,110,West,BHP
2024-05-18,70,South,HBI
2024-05-18,84,South,HBI
2024-05-18,80,North,GRN
2024-05-19,120,North,JMU
2024-05-19,80,North,JMU
2024-05-19,120,North,GRN
2024-05-19,30,North,GRN
2024-05-19,120,North,JMU
2024-05-19,80,North,JMU
2024-05-19,150,North,JPR
2024-05-19,150,North,GZB
2024-05-20,120,North,GRN
2024-05-20,30,North,GRN
2024-05-20,120,North,JMU
2024-05-20,30,North,JMU
2024-05-20,120,North,JMU
2024-05-20,40,North,JMU
2024-05-20,120,North,GRN
2024-05-20,80,North,GRN
2024-05-20,150,North,JPR
2024-05-21,150,North,DLI
2024-05-21,200,North,GRN
2024-05-21,150,North,DLI
2024-05-21,40,North,JMU
2024-05-21,120,North,JMU
2024-05-21,40,North,JMU
2024-05-21,100,North,JMU
2024-05-21,100,North,JMU
2024-05-21,10,East,DGP
2024-05-21,150,North,GZB
2024-05-21,100,North,GZB
2024-05-21,100,North,GZB
2024-05-21,200,East,DGP
2024-05-21,120,North,JMU
2024-05-21,40,North,JMU
2024-05-22,200,North,JPR
2024-05-22,200,North,DLI
2024-05-22,150,North,JPR
2024-05-22,30,West,BHP
2024-05-23,10,East,DGP
2024-05-23,10,East,DGP
2024-05-23,10,East,DGP
2024-05-23,10,East,DGP
2024-05-23,5,East,DGP
2024-05-23,200,East,DGP
2024-05-23,200,East,DGP
2024-05-23,170,West,BHP
2024-05-24,8,North,LKW
2024-05-24,20,East,DGP
2024-05-24,20,East,DGP
2024-05-24,10,East,DGP
2024-05-24,10,East,DGP
2024-05-24,10,East,DGP
2024-05-24,20,East,DGP
2024-05-24,20,East,DGP
2024-05-24,10,East,DGP
2024-05-25,150,North,DLI
2024-05-25,4,North,LKW
2024-05-25,200,East,DGP
2024-05-25,150,East,DGP
2024-05-25,100,North,JPR
2024-05-25,75,North,JPR
2024-05-25,7,North,LKW
2024-05-26,90,North,JMU
2024-05-26,80,North,JMU
2024-05-26,200,North,GRN
2024-05-26,200,North,GRN
2024-05-26,200,North,DLI
2024-05-26,200,East,DGP
2024-05-26,200,East,DGP
2024-05-26,8,North,LKW
2024-05-26,200,North,DLI
2024-05-26,150,North,DLI
2024-05-27,120,North,GRN
2024-05-27,80,North,GRN
2024-05-27,150,West,PNE
2024-05-28,200,East,DGP
2024-05-28,150,North,GRN
2024-05-28,100,North,JMU
2024-05-28,200,North,DLI
2024-05-29,10,East,DGP
2024-05-29,10,East,DGP
2024-05-29,20,West,PNE
2024-05-29,20,West,PNE
2024-05-29,10,West,PNE
2024-05-29,20,West,PNE
2024-05-29,20,West,PNE
2024-05-29,10,West,PNE
2024-05-30,150,North,LKW
2024-05-30,150,North,GRN
2024-05-30,150,North,DLI
2024-05-30,150,North,GZB
2024-05-30,120,North,GRN
2024-05-30,80,North,GRN
2024-05-30,160,North,JMU
2024-05-30,200,East,DGP
2024-05-30,5,East,DGP
2024-05-30,200,North,LKW
2024-05-30,120,North,GRN
2024-05-30,30,North,GRN
2024-05-30,50,North,GRN
2024-05-30,150,North,JPR
2024-05-30,50,North,JPR
2024-05-30,20,East,DGP
2024-05-30,20,East,DGP
2024-05-30,5,East,DGP
2024-05-30,10,East,DGP
2024-05-31,150,North,LKW
2024-05-31,150,North,LKW
2024-05-31,150,North,GRN
2024-05-31,200,East,DGP
2024-05-31,150,North,GZB
2024-05-31,20,East,DGP
2024-05-31,20,East,DGP
2024-05-31,20,East,DGP
2024-05-31,10,East,DGP
2024-05-31,5,East,DGP
2024-05-31,10,East,DGP
2024-05-31,10,East,DGP
2024-05-31,200,East,DGP
2024-05-31,150,North,LKW
2024-05-31,50,North,LKW
2024-05-31,200,North,GRN
2024-05-31,150,North,GRN
2024-05-31,50,North,GRN
2024-06-01,200,North,GZB
2024-06-01,150,North,GRN
2024-06-01,100,North,GRN
2024-06-01,150,North,GRN
2024-06-01,150,North,LKW
2024-06-04,100,North,GRN
2024-06-04,150,North,LKW
2024-06-04,24,East,DGP
2024-06-04,90,North,GRN
2024-06-05,200,North,JPR
2024-06-05,150,North,LKW
2024-06-05,50,North,LKW
2024-06-05,200,North,GRN
2024-06-05,200,North,GZB
2024-06-05,150,North,JPR
2024-06-05,200,North,GZB
2024-06-06,150,North,LKW
2024-06-06,8,West,PNE
2024-06-06,13,West,PNE
2024-06-06,20,West,PNE
2024-06-06,10,West,PNE
2024-06-07,20,North,DLI
2024-06-07,20,North,DLI
2024-06-07,15,North,DLI
2024-06-07,20,North,DLI
2024-06-07,7,North,DLI
2024-06-07,20,North,DLI
2024-06-07,8,North,DLI
2024-06-07,20,North,DLI
2024-06-07,200,West,BHP
2024-06-07,120,North,GRN
2024-06-07,80,North,GRN
2024-06-07,100,South,HBI
2024-06-07,14,North,GZB
2024-06-07,200,North,JPR
2024-06-07,5,West,PNE
2024-06-07,20,West,PNE
2024-06-07,15,North,GZB
2024-06-07,15,North,GZB
2024-06-07,20,West,PNE
2024-06-08,200,North,GRN
2024-06-08,17,North,DLI
2024-06-08,3,North,DLI
2024-06-08,10,North,DLI
2024-06-08,13,North,DLI
2024-06-08,10,North,JPR
2024-06-08,5,North,JPR
2024-06-08,150,North,LKW
2024-06-08,10,North,JPR
2024-06-08,7,North,JPR
2024-06-08,20,North,JPR
2024-06-08,20,North,JPR
2024-06-08,20,North,JPR
2024-06-08,12,North,DLI
2024-06-08,200,North,GZB
2024-06-08,150,North,DLI
2024-06-08,3,North,JPR
2024-06-08,10,North,JPR
2024-06-08,10,North,JPR
2024-06-08,5,North,JPR
2024-06-08,10,North,JPR
2024-06-08,3,North,JPR
2024-06-08,10,North,JPR
2024-06-08,10,North,JPR
2024-06-08,5,North,JPR
2024-06-08,2,North,JPR
2024-06-08,3,North,JPR
2024-06-08,3,North,JPR
2024-06-08,2,North,JPR
2024-06-08,10,North,JPR
2024-06-08,3,North,JPR
2024-06-08,3,North,JPR
2024-06-08,15,North,GZB
2024-06-08,5,North,JPR
2024-06-08,3,North,JPR
2024-06-08,10,North,JPR
2024-06-08,4,North,JPR
2024-06-08,200,North,JPR
2024-06-08,5,North,JPR
2024-06-08,150,North,LKW
2024-06-08,15,North,GZB
2024-06-08,200,West,BHP
2024-06-08,5,North,JPR
2024-06-08,15,North,JPR
2024-06-08,10,North,JPR
2024-06-08,10,North,JPR
2024-06-08,120,North,JMU
2024-06-08,80,North,JMU
2024-06-08,15,North,JPR
2024-06-08,10,North,JPR
2024-06-08,3,North,JPR
2024-06-09,150,East,PTA
2024-06-09,200,North,JPR
2024-06-09,120,North,JMU
2024-06-09,80,North,JMU
2024-06-09,20,North,GRN
2024-06-09,20,North,GRN
2024-06-09,20,North,GRN
2024-06-09,20,North,GRN
2024-06-09,20,North,GRN
2024-06-09,15,North,GRN
2024-06-09,10,North,GRN
2024-06-10,5,North,JPR
2024-06-10,5,North,JPR
2024-06-10,10,North,DLI
2024-06-10,120,North,JMU
2024-06-10,80,North,JMU
2024-06-10,10,North,DLI
2024-06-10,2,North,DLI
2024-06-10,100,North,GRN
2024-06-10,100,North,GRN
2024-06-10,120,North,JMU
2024-06-10,80,North,JMU
2024-06-10,150,North,LKW
2024-06-10,120,North,GRN
2024-06-10,80,North,GRN
2024-06-10,5,North,DLI
2024-06-10,5,West,PNE
2024-06-10,20,North,GRN
2024-06-10,25,North,GRN
2024-06-10,5,North,JPR
2024-06-10,10,North,JPR
2024-06-10,3,North,DLI
2024-06-10,12,North,DLI
2024-06-10,10,North,GRN
2024-06-10,3,North,JPR
2024-06-10,3,North,JPR
2024-06-10,200,North,GZB
2024-06-10,20,North,GZB
2024-06-10,5,North,GZB
2024-06-11,83,South,HBI
2024-06-11,12,North,GZB
2024-06-11,20,North,GZB
2024-06-11,20,North,GZB
2024-06-11,5,North,GZB
2024-06-11,20,North,GZB
2024-06-11,5,North,GZB
2024-06-11,30,North,GRN
2024-06-11,20,East,DGP
2024-06-11,20,East,DGP
2024-06-11,10,East,DGP
2024-06-12,2,North,GZB
2024-06-12,10,East,DGP
2024-06-12,25,North,GRN
2024-06-12,25,North,GRN
2024-06-13,150,North,JPR
2024-06-13,200,North,DLI
2024-06-13,1,East,DGP
2024-06-13,200,North,DLI
2024-06-13,120,North,GRN
2024-06-13,80,North,GRN
2024-06-13,150,North,JMU
2024-06-13,200,North,JPR
2024-06-13,10,North,GRN
2024-06-13,10,North,GRN
2024-06-13,200,West,BHP
2024-06-13,150,North,GZB
2024-06-13,5,East,DGP
2024-06-14,1,East,DGP
2024-06-14,50,East,PTA
2024-06-14,15,East,DGP
2024-06-14,3,East,DGP
2024-06-14,1,East,DGP
2024-06-14,5,North,GRN
2024-06-14,5,North,GRN
